Source,Section,Guidance / Concept,Applies To,Our Interpretation,Questions
NPR 7150.2D,4.1.2 (SWE-050),"Project manager shall establish, capture, record, approve, and maintain software requirements, including for COTS/GOTS/MOTS/OSS/reused components, as part of the technical specification.",PROCESS,Governs whether the project has a requirements-management practice at all. An SRS could contain flawless requirements and still fail this if they were never approved or maintained.,Does 'approve' imply a baseline we could see evidence of in the SRS? Starhawk is marked 'Draft for Review' - our inference is not-yet-approved.
NPR 7150.2D,4.1.3 (SWE-051),"Project manager shall perform software requirements analysis based on flowed-down and derived requirements from top-level systems engineering requirements, safety and reliability analyses, and hardware specifications and design.",PROCESS,"Concerns the derivation activity, not wording. Absence shows only indirectly: Starhawk section 10 lists mission needs but no allocation.","DISAGREEMENT: can we infer non-compliance from a missing traceability matrix, or is absence of evidence not evidence of absence?"
NPR 7150.2D,4.1.4 (SWE-184),"Project manager shall include software-related safety constraints, controls, mitigations, and assumptions between the hardware, operator, and software in the software requirements documentation.",MULTIPLE,"Performing the safety analysis is PROCESS, but 'include ... in the software requirements documentation' is checkable at SET/SRS level. Starhawk has REQ-014/015 (weapons inhibits) but no stated hazard analysis and no operator-vs-software allocation.",Likely the only 4.1 clause an automated reviewer could partially evaluate. Worth testing in a later sprint.
NPR 7150.2D,4.1.5 (SWE-053),Project manager shall track and manage changes to the software requirements.,PROCESS,Pure change control. Nothing in the text of an SRS reveals whether it is satisfied.,Would a revision-history table count as evidence? We think not sufficient alone.
NPR 7150.2D,4.1.6 (SWE-054),"Project manager shall identify, initiate corrective actions, and track until closure inconsistencies among requirements, project plans, and software products.",MULTIPLE,"'Inconsistencies among requirements' is SET/SRS-detectable (Starhawk uses 'important', 'critical', 'safe' inconsistently and undefined). Inconsistency against plans and products is PROCESS.","Does detecting an inconsistency satisfy the clause, or is the corrective-action tracking also required? We read it as both, so an AI can flag but never demonstrate compliance."
NPR 7150.2D,4.1.7 (SWE-055),Project manager shall perform requirements validation to ensure the software will perform as intended in the customer environment.,PROCESS,Validation involves stakeholders and an operational environment; it is not a property of text.,Define validation vs. verification separately in the taxonomy so we do not conflate them.
NPR 7150.2D,3.12.1 (SWE-052) - OUTSIDE 4.1,"Project manager shall perform, record, and maintain bi-directional traceability between software elements, applicability varying by software class (A-F).",PROCESS,"Included because Starhawk section 10 admits no traceability matrix exists. NOTE: outside our assigned 4.1 scope - it sits in 3.12, project-wide process requirements. That placement is itself evidence traceability is process-level.","Should out-of-scope clauses appear here? Included, flagged, because the SRS raises the issue directly."
SWEHB 5.09,1.b / 3.2 (CSCI Requirements),"Each requirement should be specific, testable, and traceable.",INDIVIDUAL,"The handbook's general three-part criterion, stated for all CSCI requirements. Specificity and testability are judgeable from one sentence; traceability is not fully.",Stated twice on the page (Minimum Recommended Content and Guidance). This is the core rubric - the six-item list below is narrower in scope.
SWEHB 5.09,3.2.1 (Characteristics of Functional Requirements),"Specific: clear and unambiguous, e.g. avoid subjective terms like 'efficient' or 'user-friendly'.",INDIVIDUAL,"The most automatable criterion. Catches Starhawk REQ-016 'extremely accurate', REQ-021 'quickly', REQ-037 'without noticeable delay', REQ-050 'state-of-the-art'. Note the handbook names 'efficient' explicitly, and REQ-004 uses it verbatim ('safe and efficient route').","SCOPE NOTE: this six-item list is stated for FUNCTIONAL requirements specifically, not all requirements. Applying it to performance or security requirements is our extension, not the handbook's."
SWEHB 5.09,3.2.1 (Characteristics of Functional Requirements),Specific and verifiable/testable: each requirement should be clear enough to be tested with defined success criteria.,INDIVIDUAL,"Catches REQ-040 ('shall never crash', an unprovable universal negative) and every unquantified qualifier.","DISAGREEMENT: how do we treat requirements testable in principle but missing information the SRS lacks (REQ-047, log capacity)? Defect, or missing context?"
