Requirement ID,Assessment,Issue Category,Explanation,NASA Source,Proposed Revision
SFMC-REQ-001,ACCEPTABLE,-,"Specific, testable behavior: position is either displayed or it is not. Update rate is handled separately by REQ-002.",n/a - no defect identified,-
SFMC-REQ-002,ACCEPTABLE,-,Model requirement. Quantified threshold (500 ms) plus explicit operating modes. Use as a positive exemplar in the taxonomy.,n/a - no defect identified,-
SFMC-REQ-003,ACCEPTABLE,-,"Clear capability, directly testable.",n/a - no defect identified,-
SFMC-REQ-004,NEEDS REVIEW,Unquantified qualifier,Both 'safe' and 'efficient' are undefined. SWEHB names 'efficient' explicitly as a subjective term to avoid. SRS Open Items #1 confirms 'safe route' is unresolved.,SWEHB 5.09 3.2.1 (Specific: clear and unambiguous),"Route criteria (keep-out distances, fuel/time optimization target) must be obtained from Flight Dynamics. Cannot revise without stakeholder input - see Explanation."
SFMC-REQ-005,ACCEPTABLE,-,Trigger condition and action both stated.,n/a - no defect identified,-
SFMC-REQ-006,NEEDS REVIEW,Unquantified qualifier,"'reasonably close' has no numeric tolerance, so no acceptance criterion can be written. Open Items #2 confirms.",SWEHB 5.09 3.2.1 (Specific and verifiable/testable),Requires a maximum arrival miss-distance from Flight Dynamics. Cannot revise without stakeholder input - see Explanation.
SFMC-REQ-007,NEEDS REVIEW,Unquantified qualifier,'continuously monitor' specifies no sampling rate or staleness bound. A 1 Hz and a 1000 Hz implementation both satisfy the wording.,SWEHB 5.09 3.2.1 (Specific and verifiable/testable),The SFMC shall sample main engine status at least once every [X] milliseconds. Rate must come from Propulsion.
SFMC-REQ-008,ACCEPTABLE,-,Exemplary: quantified threshold tied to a defined quantity (usable fuel capacity).,n/a - no defect identified,-
SFMC-REQ-009,ACCEPTABLE,Compound (minor),"Threshold and both outputs are unambiguous and testable. Noted as compound only because two obligations share one ID, which affects verification tracking rather than clarity.",n/a - no defect identified,Optional: split into 009a (visual warning) and 009b (audible alarm) for traceability granularity.
SFMC-REQ-010,NEEDS REVIEW,Missing response,The trigger (engine failure) is defined but the required response is not. 'Appropriate corrective action' delegates a flight-safety design decision to the developer.,SWEHB 5.09 3.2.1 (Behavioral: defines behavior under specific conditions),Requires the specific contingency sequence from Propulsion/Safety. Cannot revise without stakeholder input - see Explanation.
SFMC-REQ-011,ACCEPTABLE,-,Testable given a defined sensor range.,n/a - no defect identified,-
SFMC-REQ-012,ACCEPTABLE,-,Clear capability.,n/a - no defect identified,-
SFMC-REQ-013,ACCEPTABLE,Compound (minor),Enumerated list is complete and each field is testable. Compound only in the traceability sense - four display fields under one ID.,n/a - no defect identified,Optional: split per field for verification tracking.
SFMC-REQ-014,ACCEPTABLE,-,"Safety-critical inhibit, clearly stated and testable.",n/a - no defect identified,-
SFMC-REQ-015,NEEDS REVIEW,Undefined term (safety-critical),'Friendly' is never defined; Open Items #10 admits friend-or-foe criteria are unresolved. A safety inhibit that depends on an undefined classification cannot be implemented or verified. Also conflicts with REQ-035 (see that row).,SWEHB 5.09 3.2.1 (Specific: clear and unambiguous) / NPR 7150.2D 4.1.4 (SWE-184: safety constraints in requirements documentation),Requires friend-or-foe determination criteria from Mission Operations. Cannot revise without stakeholder input - see Explanation.
SFMC-REQ-016,NEEDS REVIEW,Unquantified qualifier,"'Extremely accurate' has no metric or units. Open Items #7 confirms targeting accuracy is unresolved. Separately, the subject is 'the targeting system', not the SFMC - this may not be a software requirement at all.",SWEHB 5.09 3.2.1 (Specific and verifiable/testable),"Requires an accuracy figure and its units from Weapons/GNC, plus a decision on whether this is allocated to software. Cannot revise without stakeholder input - see Explanation."
SFMC-REQ-017,ACCEPTABLE,-,"Trigger and response both stated. No latency bound, but REQ-021 is where that gap is recorded.",n/a - no defect identified,-
SFMC-REQ-018,NEEDS REVIEW,Unquantified qualifier,"'Clearly indicate' is subjective, and 'greatest danger' implies a threat-ranking function with no stated criteria (closure rate? weapon type? time to impact?).",SWEHB 5.09 3.2.1 (Specific: clear and unambiguous),Requires threat-prioritization criteria from Defensive Systems. Cannot revise without stakeholder input - see Explanation.
SFMC-REQ-019,ACCEPTABLE,-,"Mode-triggered action, testable.",n/a - no defect identified,-
SFMC-REQ-020,ACCEPTABLE,-,Condition and action stated; 'when automatic defense is enabled' is a clear precondition.,n/a - no defect identified,-
SFMC-REQ-021,NEEDS REVIEW,Unquantified qualifier,"Both 'quickly' and 'dangerous' are undefined, and 'respond' does not name an action. Three separate gaps in one sentence.",SWEHB 5.09 3.2.1 (Specific and verifiable/testable) / SWEHB 5.09 3.2.1 (Behavioral: defines behavior under specific conditions),Requires a response-time bound and a threat-severity definition from Defensive Systems. Cannot revise without stakeholder input - see Explanation.
